County,Trump,Uncommitted_R,Biden,Sanders,Uncommitted_D,Warren,Buttigieg,Yang,Gabbard,Klobuchar,Steyer,Bennet,Patrick,McConnell,Morgan,Grider,Frangedakis,James,Lowndes,Alsager,McGrath,Booker,Broihier,Tobin,Hilliard,Maynard,Smith,Ausbrooks,Rothmuller,Sharpensteen
Butler,"1,934",245,387,66,47,10,14,7,3,7,1,0,0,"1,719",120,91,45,42,18,15,337,173,13,6,4,6,2,8,0,0
Caldwell,994,65,873,147,423,35,28,34,37,30,14,20,7,894,65,18,22,5,7,9,834,445,58,102,45,24,41,57,14,22
Calloway,"2,271",330,"2,626",548,617,137,82,57,64,59,19,30,4,"2,108",185,53,70,54,12,36,"2,259","1,443",115,143,44,41,86,52,26,47
Campbell,"8,584","1,765","7,012","1,545",673,428,184,144,85,96,35,18,18,"8,018",522,430,399,386,148,93,"5,651","3,766",311,178,131,93,55,27,55,57
Carlisle,358,14,285,46,234,16,14,17,19,11,7,10,4,317,18,5,7,6,1,8,328,151,35,38,18,15,23,35,8,12
Carroll,403,32,711,109,284,26,34,18,40,25,12,11,4,345,31,18,11,4,7,4,646,320,144,52,34,21,40,12,11,15
Carter,"2,511",186,"1,473",249,462,47,32,30,34,34,18,20,8,"2,165",154,64,64,78,45,15,"1,392",684,76,49,54,113,45,18,18,19
Casey,"2,689",194,277,65,50,16,5,3,0,4,2,2,1,"2,345",225,57,27,73,15,41,240,127,31,11,3,4,1,8,1,1
Christian,"2,775",321,"3,671",444,726,126,84,76,72,94,34,38,9,"2,503",190,66,94,75,32,35,"1,905","2,656",207,236,82,78,85,96,35,52
Clark,"3,355",496,"3,133",495,658,108,82,68,82,57,39,24,16,"3,124",263,65,81,77,116,12,"2,382","1,657",439,103,58,108,41,13,59,35
Clay,"2,532",175,243,50,27,5,4,5,2,0,0,1,0,"2,288",234,26,19,35,26,11,196,103,21,5,6,7,5,0,2,1
Clinton,"2,201",127,162,31,24,3,5,2,5,6,1,5,0,"1,879",182,62,36,13,24,35,150,66,16,6,1,3,3,1,1,8
Crittenden,"1,130",67,389,55,145,11,10,4,9,12,7,9,2,"1,020",64,12,21,6,6,19,406,120,18,41,11,15,22,8,8,7
Cumberland,"1,101",121,134,21,8,1,1,3,2,5,2,2,0,899,139,31,22,22,9,25,116,44,8,2,2,4,3,2,2,0
Daviess,"7,259","1,194","8,727","1,350","1,435",317,274,159,172,147,69,76,28,"6,669",528,260,293,209,83,113,"7,000","4,320",439,318,175,106,120,143,59,58
Edmonson,"1,611",157,457,96,66,9,6,9,6,4,3,1,0,"1,488",78,42,31,28,8,15,437,182,11,14,8,2,3,2,3,4
Elliott,155,10,490,77,201,9,10,12,9,13,5,5,9,142,11,1,4,1,3,0,471,176,68,20,23,44,15,15,10,19
Estill,"2,046",159,690,117,174,32,17,17,3,8,5,7,5,"1,853",177,21,31,11,45,7,579,318,122,27,13,13,17,4,15,9
Fayette,"17,417","6,669","39,153","8,302","2,140","2,188",932,742,432,391,117,85,59,"17,907","1,591",744,"1,078","1,085",668,205,"24,005","27,520","2,049",375,214,201,241,54,249,86
Fleming,"1,446",77,943,148,318,39,31,24,26,25,15,23,3,"1,318",68,13,21,15,48,7,840,419,221,38,27,53,15,10,33,23
Floyd,"1,091",67,"2,278",415,987,114,51,76,69,53,47,41,16,985,62,6,16,21,15,7,"2,287","1,142",137,147,123,190,109,29,30,45
Franklin,"3,560",796,"8,329","1,220","1,830",316,220,178,208,134,73,78,25,"3,278",322,147,139,101,153,50,"5,703","5,169","1,004",263,154,179,111,53,118,64
Fulton,285,9,434,43,146,10,9,12,11,12,6,10,3,267,14,4,3,2,0,1,363,198,33,30,16,12,14,9,7,12
Gallatin,547,45,438,63,149,13,24,15,9,12,4,9,2,466,36,32,14,11,7,4,412,183,39,42,30,19,11,4,8,9
Garrard,"2,534",254,829,109,145,24,10,16,11,6,5,2,2,"2,279",168,76,54,65,13,20,643,377,133,13,9,8,8,7,2,2
Grant,"2,330",160,"1,091",203,352,39,26,16,25,31,10,11,5,"2,099",160,71,45,32,18,20,"1,001",466,92,67,44,37,38,14,14,26
Graves,"2,180",124,"1,760",290,817,66,61,57,56,50,27,44,13,"1,986",100,42,47,25,16,23,"1,582",953,123,208,63,55,107,91,25,60
Grayson,"3,479",378,979,160,190,39,20,22,15,9,15,4,3,"3,061",231,156,75,62,29,41,842,400,93,76,17,7,13,12,7,11
