District,Beshear/Coleman,Cameron/Mills,Fishback/Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
HD_34,"16,547","5,207",0,"8,211","13,051",1,"6,938","14,416","7,481","13,493","6,648","14,359",1,"6,820","14,085"
HD_35,"6,175","2,884",2,"3,797","5,138",0,"3,713","5,217","3,770","5,067","3,492","5,361",0,"3,668","5,152"
HD_36,"10,574","8,987",0,"11,340","7,805",21,"10,637","8,596","11,133","7,829","10,459","8,498",4,"10,657","8,228"
HD_37,"6,782","4,787",0,"5,956","5,412",2,"5,958","5,445","6,019","5,283","5,751","5,561",0,"5,936","5,346"
HD_38,"7,715","3,981",1,"5,220","6,272",1,"5,093","6,425","5,215","6,190","4,829","6,571",0,"5,013","6,319"
HD_39,"7,936","6,176",1,"8,287","5,579",1,"7,580","6,272","8,228","5,547","7,482","6,213",3,"7,787","5,925"
HD_40,"7,785","1,212",2,"1,923","6,967",0,"1,713","7,212","1,795","7,057","1,606","7,261",1,"1,686","7,140"
HD_41,"17,106","3,576",0,"6,001","14,285",1,"4,848","15,497","5,299","14,755","4,570","15,508",1,"4,847","15,098"
HD_42,"9,661",791,0,"1,473","8,857",0,"1,080","9,289","1,270","8,994","1,060","9,214",0,"1,130","9,125"
HD_43,"9,114",887,0,"1,606","8,276",0,"1,231","8,683","1,403","8,424","1,200","8,645",1,"1,240","8,573"
HD_44,"9,635","1,914",0,"2,814","8,602",0,"2,615","8,844","2,698","8,659","2,457","8,914",1,"2,583","8,752"
HD_45,"12,119","7,849",1,"11,576","7,981",0,"9,987","9,542","11,298","8,096","9,860","9,391",0,"10,120","9,091"
HD_46,"10,300","4,801",1,"6,531","8,270",0,"6,111","8,733","6,380","8,290","5,897","8,771",1,"6,163","8,452"
HD_47,"6,039","7,646",1,"9,191","4,201",10,"9,147","4,259","9,346","3,997","8,721","4,563",5,"9,245","4,088"
HD_48,"13,024","8,558",1,"11,718","9,427",5,"10,659","10,532","11,221","9,674","10,447","10,399",1,"10,582","10,177"
HD_49,"5,989","8,127",0,"9,699","4,147",4,"9,676","4,217","9,794","3,979","9,397","4,348",2,"9,585","4,163"
HD_50,"7,562","7,375",0,"9,161","5,424",4,"9,023","5,607","9,323","5,184","8,711","5,735",1,"8,374","6,157"
