District,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
HD_65,"1,261",253,505,372,72,59,39,18,11,5,2,5,"1,541",40,40,"1,159",985,217,"1,608",617,919,788,545,"1,295",864,"1,024",388
HD_66,"1,696",287,642,648,94,100,62,14,15,12,3,12,855,27,29,"1,500","1,487",260,"2,148","1,025","1,304","1,300",595,"1,875","1,180",561,284
HD_67,711,164,450,304,32,38,41,9,5,8,6,7,"1,468",57,33,832,590,167,"1,114",425,693,531,326,851,628,987,447
HD_68,"1,871",447,839,600,104,115,58,16,12,6,4,10,"1,542",61,32,"1,735","1,585",298,"2,501","1,035","1,409","1,293",820,"1,985","1,380","1,041",461
HD_69,937,184,412,428,72,35,42,8,12,8,6,4,"1,021",31,23,849,951,190,"1,255",678,840,746,352,"1,137",734,598,354
HD_70,"1,287",760,394,282,66,36,21,17,11,6,6,9,"1,778",235,141,"1,650",784,195,"1,672",880,"1,152",949,453,"1,544",956,908,"1,072"
HD_71,"2,339","1,012",937,176,176,174,17,12,65,18,6,13,"1,384",82,47,"3,029",975,472,"3,139","1,236","2,871",949,645,"3,393","1,259",833,508
HD_72,"1,129","1,156",302,175,64,30,10,9,10,9,10,6,"1,853",257,105,"1,804",604,216,"1,816",724,"1,226",724,650,"1,721",909,826,"1,202"
HD_73,"1,654","1,036",503,99,84,90,16,10,13,12,9,10,"2,236",150,97,"2,238",513,276,"2,121",864,"1,458",793,735,"1,848","1,071","1,107",996
HD_74,"1,295",965,313,231,62,34,19,12,12,12,4,7,"2,360",337,151,"1,695",610,284,"1,716",795,"1,406",656,499,"1,416","1,129","1,016","1,387"
HD_75,563,523,222,55,39,63,12,12,1,8,3,5,"2,686",58,42,981,260,101,908,392,559,413,372,722,540,"1,804",722
HD_76,835,638,389,62,52,83,17,5,3,6,5,0,"3,414",66,47,"1,355",318,157,"1,286",516,831,493,508,"1,005",718,"2,174",966
HD_77,481,305,144,23,30,42,6,3,3,6,3,4,"2,827",43,35,679,186,71,653,270,348,259,331,519,361,"1,577","1,031"
HD_78,"1,596",594,687,833,107,66,70,8,37,9,4,6,988,101,64,"1,584","1,754",290,"2,316","1,187","1,533","1,518",486,"2,202","1,231",571,503
HD_79,761,630,339,37,29,80,6,3,2,4,5,4,"2,660",51,35,"1,250",265,123,"1,260",349,710,397,516,875,657,"1,681",756
HD_80,"2,152","1,172",609,208,373,159,19,13,13,5,11,11,946,71,45,"2,874",918,468,"3,004","1,225","3,116","1,018",436,"3,466","1,076",509,473
HD_81,"2,005","1,045",827,146,164,88,19,25,54,27,20,9,"2,412",171,83,"2,966",683,372,"2,842","1,132","2,252",912,872,"2,934","1,160","1,294","1,069"
HD_82,"2,154",760,642,235,84,147,15,12,16,8,11,10,364,20,13,"2,209",907,496,"2,702",903,"2,143",744,715,"2,116","1,489",205,158
HD_83,"2,471","1,496","2,149",198,173,359,29,26,35,8,5,12,537,33,28,"4,526","1,152",490,"4,685","1,392","3,438","1,821",875,"3,598","2,513",310,234
HD_84,670,280,551,129,44,31,7,5,11,5,11,2,"1,599",147,116,"1,028",302,220,"1,093",429,927,330,270,811,695,710,983
HD_85,"2,641","1,340",885,182,121,884,17,12,11,8,13,14,620,25,18,"3,534","1,165",639,"3,963","1,340","3,205","1,013","1,045","3,040","2,234",375,228
